Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
210,0.666032,-1.133448,-0.565098,-0.008816,-0.992205,0.009346,-0.166008,-0.198731,-0.845429
211,0.663731,-1.140629,-0.552017,0.004837,-0.999434,0.012558,-0.417838,-0.135848,-0.719514
212,0.666032,-1.131054,-0.578179,-0.009618,-0.997827,0.034241,-0.291923,0.178865,-0.782397
213,0.661431,-1.133448,-0.554633,-0.000785,-0.988992,0.043879,-0.921348,-0.072965,-0.530716
214,0.663731,-1.138236,-0.552017,-0.007209,-1.000236,0.011755,-0.669518,-0.072965,-0.404801
215,0.663731,-1.138236,-0.552017,-0.008816,-0.999434,0.021393,-0.480721,-0.261763,-0.593599
216,0.65913,-1.138236,-0.541552,-0.008816,-0.995418,0.027013,-0.417838,-0.135848,-0.656482
217,0.666032,-1.138236,-0.583411,-0.007209,-1.001038,0.027817,0.085822,-0.576475,-1.097109
218,0.672934,-1.131054,-0.559866,-0.0048,-0.996221,0.003724,-0.291923,-0.324646,-0.782397
219,0.666032,-1.126267,-0.572946,0.00002,-0.996221,0.000511,-0.543603,-0.387677,-0.656482
220,0.652228,-1.131054,-0.572946,-0.001587,-1.001842,0.00774,-0.858316,-0.387677,-0.530716
221,0.652228,-1.131054,-0.572946,0.000822,-0.997827,0.014164,-0.921348,-0.261763,-0.593599
222,0.656829,-1.126267,-0.57033,0.004035,-1.005858,0.030226,-0.669518,-0.387677,-0.341769
223,0.656829,-1.135842,-0.57033,-0.001587,-1.003449,0.017377,-0.669518,-0.387677,-0.404801
224,0.661431,-1.126267,-0.572946,0.002428,-0.997827,0.028619,0.085822,-0.198731,-0.656482
225,0.654529,-1.138236,-0.57033,-0.003194,-0.987385,0.020588,-0.669518,-0.072965,-0.467684
226,0.65913,-1.131054,-0.575562,0.001626,-1.000236,0.035848,-0.795433,-0.009933,-0.845429
227,0.661431,-1.138236,-0.554633,-0.01524,-0.989796,0.009346,-0.921348,-0.324646,-0.467684
228,0.661431,-1.138236,-0.554633,-0.003996,-1.002645,0.017377,-0.858316,-0.576475,-1.223024
229,0.65913,-1.128661,-0.549401,-0.006405,-1.00666,0.024604,-0.166008,-0.261763,-0.908311
230,0.661431,-1.131054,-0.567714,-0.0048,-1.001842,-0.003504,-0.669518,-0.45056,-0.404801
231,0.656829,-1.121479,-0.572946,0.00002,-1.001842,0.029424,-0.166008,-0.639358,-0.656482
232,0.656829,-1.119086,-0.546784,-0.002389,-0.993812,0.010951,-0.480721,-0.45056,-0.530716
233,0.666032,-1.126267,-0.565098,-0.012831,-0.992205,0.026211,-1.047263,-0.072965,-0.090089
234,0.666032,-1.126267,-0.565098,-0.009618,-0.999434,0.013362,-0.858316,-0.135848,-0.278886
235,0.663731,-1.119086,-0.575562,0.004035,-0.997827,0.025408,-0.543603,0.178865,-0.530716
236,0.654529,-1.126267,-0.59126,0.006444,-0.995418,0.00292,-0.669518,-0.45056,-0.404801
237,0.656829,-1.131054,-0.578179,-0.002389,-0.993812,0.037455,-0.543603,-0.387677,-0.404801
238,0.661431,-1.133448,-0.586027,0.005642,-0.994614,0.035046,-0.417838,-0.198731,-0.216004
239,0.65913,-1.133448,-0.546784,-0.007209,-0.991403,-0.005111,-0.291923,0.115982,-0.782397
240,0.65913,-1.133448,-0.546784,-0.0048,-1.002645,0.020588,-0.480721,-0.513443,-0.593599
241,0.652228,-1.138236,-0.562482,0.000822,-0.987385,0.002118,-0.669518,-0.072965,-0.216004
242,0.666032,-1.128661,-0.586027,0.00002,-1.001842,0.022195,-0.606635,-0.198731,-0.530716
243,0.656829,-1.128661,-0.596492,-0.005602,-0.989796,0.003724,-0.73255,-0.324646,-0.467684
244,0.663731,-1.123873,-0.578179,-0.002389,-0.997023,0.019786,-0.228891,-0.45056,-0.656482
245,0.666032,-1.121479,-0.596492,-0.008816,-0.996221,0.010149,-0.228891,-0.324646,-1.034226
246,0.656829,-1.119086,-0.567714,-0.000785,-0.992205,0.014966,-0.984231,-0.45056,-0.656482
247,0.656829,-1.119086,-0.567714,0.00002,-0.992205,0.027013,-0.795433,-0.198731,-0.845429
248,0.670633,-1.126267,-0.586027,-0.000785,-0.994614,0.011755,-0.480721,0.178865,-0.593599
249,0.65913,-1.128661,-0.578179,-0.001587,-0.988992,0.022195,-0.417838,0.178865,-0.908311
250,0.652228,-1.131054,-0.601725,-0.003194,-1.000236,0.031833,-0.669518,-0.009933,-0.530716
251,0.668332,-1.128661,-0.578179,-0.009618,-0.993007,0.029424,-0.480721,-0.009933,-0.845429
252,0.65913,-1.126267,-0.567714,-0.0048,-0.998629,0.018982,-0.858316,-0.261763,-0.908311
253,0.65913,-1.126267,-0.567714,-0.000785,-0.988992,0.00774,-0.354806,-0.324646,-0.782397
254,0.672934,-1.123873,-0.562482,0.00002,-0.998629,0.015771,-0.73255,-0.072965,-0.656482
